"first_name","last_name"
"Adrian (II)","Hall"
"Agnieszka","Holland"
"Alan","Rudolph"
"Alan (I)","James"
"Alan (I)","Parker"
"Alan J.","Pakula"
"Albert (I)","Herman"
"Albert (I)","Ray"
"Aleksandr","Shirvindt"
"Alex","Matter"
"Alfred","Radok"
"Alfred","Santell"
"Alfred L.","Werker"
"Allen","Reisner"
"Alvin","Rakoff"
"Andreas","Marschall"
"Andrzej","Kotkowski"
"Andrzej","Wajda"
"Archie","Mayo"
"Arthur","Marks"
"Audrey (I)","Powell"
"B. Reeves","Eason"
"Barbara","Loden"
"Barbara","Sass"
"Barry","Primus"
"Barry","Sonnenfeld"
"Basil","Coleman"
"Baz","Luhrmann"
"Bebe","Kamin"
"Ben","Turbett"
"Bernard (I)","Dumont"
"Bill (I)","Justice"
"Bille","August"
"Bob (I)","Brooks"
"Börje (I)","Larsson"
"Brett","Ratner"
"Brian (I)","Gibson"
"Bruce","Beresford"
"Bruce","Gowers"
"Buck","Jones"
"Bud","Pollard"
"Busby","Berkeley"
"Campbell","Scott"
"Carl-Gustav","Nykvist"
"Cecil B.","DeMille"
"Charles","Chaplin"
"Charles","Jarrott"
"Charles (I)","Barton"
"Charles E.","Roberts"
"Chris","Blum"
"Christine","Stand"
"Conrad E.","Palmisano"
"Cullen","Tate"
"D'Urville","Martin"
"D. Ross","Lederman"
"D.W.","Griffith"
"Dan","Zethraeus"
"Daniel","Tinayre"
"Dario","Argento"
"David (I)","Atkins"
"David (I)","Douglas"
"David (I)","Greene"
"David (I)","Howard"
"Delmer","Daves"
"Denijal","Hasanovic"
"Dennis","Potter"
"Dennis (I)","Berry"
"Derwin","Abrahams"
"Don","Askarian"
"Donald","Crombie"
"Donald","Shebib"
"Dusan","Trancík"
"Edgar","Kennedy"
"Edgar G.","Ulmer"
"Edvin","Laine"
"Edward","Buzzell"
"Edward","Killy"
"Edward","Ludwig"
"Edward F.","Cline"
"Edwin","Carewe"
"Elishka","Vojtova"
"Elmar","Klos"
"Elmer","Clifton"
"Elof","Ahrle"
"Enzo G.","Castellari"
"Eric","Simonson"
"Ewald André","Dupont"
"Feliks","Falk"
"Fernando E.","Solanas"
"Ford","Beebe"
"Forest","Whitaker"
"Franco","Zeffirelli"
"François","Truffaut"
"Frank","Capra"
"Frank (I)","McDonald"
"Frank R.","Strayer"
"Frantisek","Matousek"
"Fred F.","Sears"
"Freddie","Francis"
"Gábor","Herendi"
"Geoff","Wonfor"
"George","Cukor"
"George (I)","Blair"
"George (I)","Marshall"
"George (I)","Miller"
"George (I)","Sherman"
"Giuseppe","Tornatore"
"Gordon","Douglas"
"Gore","Verbinski"
"Gösta","Rodin"
"Greydon","Clark"
"Gunila","Ambjörnsson"
"Gus","Meins"
"Gustaf","Edgren"
"H.C.","Potter"
"Hal","Ashby"
"Halina","Garus"
"Hampe","Faustman"
"Hanelle M.","Culpepper"
"Hans-Christoph","Blumenberg"
"Harry","D'Arcy"
"Harry","Hurwitz"
"Harry L.","Fraser"
"Helmut","Dietl"
"Henry","Koster"
"Henry (I)","King"
"Howard","Bretherton"
"Howard (I)","Carey"
"Hugo","Ballin"
"Ignatius","Jones"
"Ingmar","Bergman"
"Irving","Cummings"
"Irwin","Winkler"
"Ivan","Reitman"
"J.P.","McGowan"
"Jack","Gold"
"Jaco","van Dormael"
"Jacobo","Morales"
"Jacques","Rozier"
"James","Ivory"
"James","Mangold"
"James","Toback"
"Jan","Rybkowski"
"Ján","Kadár"
"Janusz","Morgenstern"
"Jaromír","Pleskot"
"Jaroslav","Mach"
"Jay","Craven"
"Jean","Yarbrough"
"Jean-Luc","Godard"
"Jerzy","Domaradzki"
"Jerzy","Oblamski"
"Jerzy","Passendorfer"
"Jirí","Krejcík"
"Joan Micklin","Silver"
"Joel","Gallen"
"Joel","Schumacher"
"John","Irvin"
"John","Vogt"
"John (I)","English"
"John (I)","Ford"
"John (I)","Madden"
"John (II)","Walker"
"John M.","Stahl"
"Jordan","Walker-Pearlman"
"Jorge","Bodanzky"
"Josef","von Sternberg"
"Joseph","Kane"
"Joseph","Santley"
"Joseph L.","Scanlan"
"Joshua","Brown"
"Joze","Gale"
"Jules","Dassin"
"Julia","Knowles"
"Julien","Duvivier"
"Julien","Temple"
"Jun (I)","Ichikawa"
"Juraj","Jakubisko"
"Karel","Smyczek"
"Karim","Ainouz"
"Ken","Loach"
"Ki-duk (II)","Kim"
"Krzysztof","Gradowski"
"Krzysztof","Zanussi"
"Kurt-Olof","Sundström"
"Kurt (I)","Neumann"
"Laetitia","Masson"
"Lambert","Hillyer"
"Larry","Buchanan"
"Larry","Jordan"
"Larry","Reese"
"Lars","Mullback"
"Lasse","Åberg"
"Lasse","Hallström"
"Lech","Lorentowicz"
"Leidulv","Risan"
"Lene","Grønlykke"
"Lennie","Weinrib"
"Leon","Barsha"
"Leos","Carax"
"Lesley","Selander"
"Lew","Landers"
"Lewis D.","Collins"
"Lloyd","French"
"Lou","Tedesco"
"Lou (I)","Brock"
"Lucho","Bender"
"Marcel","Varnel"
"Marcos","Loayza"
"Marek","Piwowski"
"María Luisa","Bemberg"
"Marian","Zietkiewicz"
"Mark","Zakharov"
"Mark W.","Allen"
"Martin","Fric"
"Martin (I)","Ritt"
"Matthew","Irmas"
"Maurizio","Nichetti"
"Max","Ophüls"
"May","Tully"
"Mervyn","LeRoy"
"Michael (I)","Anderson"
"Michael (I)","Austin"
"Michael (I)","Bray"
"Mike","Figgis"
"Mike (I)","Mansfield"
"Mikko","Niskanen"
"Milos","Forman"
"Mitchell","Leisen"
"Natasha","Arthy"
"Nick (I)","Morris"
"Noel","Archambault"
"Noel M.","Smith"
"Norman","Taurog"
"Olaf","Lubaszenko"
"Oldrich","Lipský"
"Oliver","Drake"
"Omiros","Efstratiadis"
"Otto","Brower"
"Paul (I)","Cox"
"Pekka","Karjalainen"
"Penelope","Spheeris"
"Per","Gunvall"
"Peter","Bogdanovich"
"Peter","Hald"
"Peter","Oskarson"
"Peter","Payer"
"Peter (I)","Hammond"
"Petr","Zelenka"
"Preston","Sturges"
"R.G.","Springsteen"
"Ralph","Murphy"
"Ralph L.","Thomas"
"Ray","McCarey"
"Ray","Nazarro"
"Ray (I)","Taylor"
"Reginald","Denham"
"René","Longueville"
"Renee","Chabria"
"Richard","Benjamin"
"Richard","Boleslawski"
"Richard","Linklater"
"Richard","Rich"
"Richard (I)","Thorpe"
"Richard (I)","Wallace"
"Richard (II)","Barnes"
"Robert","Mulligan"
"Robert","Siodmak"
"Robert (I)","Frank"
"Robert (I)","Sparks"
"Robert A.","McGowan"
"Robert Emmett","Tansey"
"Robert F.","Hill"
"Robert F.","McGowan"
"Robert J.","Horner"
"Robert N.","Bradbury"
"Robin (I)","Hardy"
"Roger","Spottiswoode"
"Roman","Kroitor"
"Ron","Howard"
"Roy","Del Ruth"
"Rudy","Wurlitzer"
"Rune","Carlsten"
"Rusty","Lemorande"
"Ruy","Guerra"
"S. Roy","Luby"
"Sam (I)","Nelson"
"Sam (I)","Wood"
"Samuel","Fuller"
"Satyajit","Ray"
"Saul A.","Goodkind"
"Scott","Hicks"
"Seppo","Huunonen"
"Sergio","Bergonzelli"
"Shohei","Imamura"
"Sidney","Lanfield"
"Sidney (I)","Franklin"
"Sólveig","Anspach"
"Spencer Gordon","Bennet"
"Stanislaw","Bareja"
"Stéphane","Loison"
"Steve","Rash"
"Steven","Paul"
"Sven","Grønlykke"
"Tadeusz","Chmielewski"
"Ted","Follows"
"Terry","Gilliam"
"Thomas","Imbach"
"Tim (I)","Bullock"
"Tim (I)","Potter"
