"first_name","last_name"
"'Crip'","Heard"
"A.","Bsokovsky"
"A.","Tehir"
"Aaron","Blabey"
"Aaron","Zigman"
"Abdellah","Ajil"
"Abdellah","Amarjouf"
"Ada","Falcon"
"Ada","Sherin"
"Adalberto","Martínez"
"Adam","Hanuszkiewicz"
"Addison","Richards"
"Adél","Való"
"Adele","Zoppis"
"Adolf","Hitler"
"Adolfo","Celi"
"Adolfo","Marsillach"
"Adolph","Green"
"Adolph","Zukor"
"Adriana","Caselotti"
"Adriana","Sredzinska"
"Adrienne","Franciscus"
"Agathe","Dronne"
"Aghdas","Khoshmou"
"Ági","Margittay"
"Agnaldo","Rayol"
"Agnes","de Mille"
"Agnès","Manoury"
"Ágnes","Dosztnár"
"Agnes Christine","Johnston"
"Agneshka","Lilute"
"Agustín","Lara"
"Agustín (I)","González"
"Ahmad","Alhusari"
"Aída","Gómez"
"Aino","Lehtimäki"
"Åke","Lindman"
"Akiko","Kazami"
"Al","Capp"
"Al","Eben"
"Al","St. John"
"Alain","Bouzigues"
"Alain","Feydeau"
"Alain","Saint-Alix"
"Alan","Hale Jr."
"Alan","Manson"
"Alan","Oppenheimer"
"Alan","Tilvern"
"Alan (I)","Reed"
"Alan (I)","Young"
"Albert","Einstein"
"Albert","Florath"
"Albert","Hehn"
"Albert","Rancy"
"Albert","Speer"
"Albert-James","Motil"
"Alberto","Bys"
"Alberto","de Mendoza"
"Alberto","Martín"
"Alec","Guinness"
"Alec","Hunter"
"Alekos","Alexandrakis"
"Aleksander","Buczynski"
"Aleksandr","Komissarov"
"Aleksandr (I)","Mikhajlov"
"Aleksandr F.","Volchkov"
"Aleksandra","Trishko"
"Aleksei","Nejmyshev"
"Aleksei","Yelistratov"
"Alessandra","Celesia"
"Alessia","Patacconi"
"Alex","Nehara"
"Alex","Varemberg"
"Alexander","Fadeev"
"Alexandre","Moulo"
"Alfons","Hoeckmann"
"Alfonso","Rojas"
"Alfonso","Vallejo"
"Alfred","Burke"
"Alfred","Dreyfus"
"Alfred","Jodl"
"Alfred","Müller"
"Alfred","Rosenberg"
"Alfred (I)","Hitchcock"
"Alfredo","Di Stéfano"
"Alfredo","Montejo"
"Alfredo (I)","Silva"
"Ali","Wahaab"
"Alice","Faye"
"Alice","Franz"
"Alice","Treff"
"Alicia","Díaz"
"Alicia","Montoya"
"Alicia (II)","Rodríguez"
"Alida","Valli"
"Alina","Candeias"
"Alina","Janowska"
"Alisa","Fear"
"Alisa","Frejndlikh"
"Alla","Nazimova"
"Allen 'Farina'","Hoskins"
"Alma","Beltran"
"Alvin F.","Poussaint M.D."
"Amália","Rodrigues"
"Amanda","Fairbank-Hynes"
"Amanda","Soha"
"Ambrosine","Phillpotts"
"Amélie","Daure"
"Amir","Amirandas"
"Amparo","Arozamena"
"Amparo","Garrido"
"Amparo","Montes"
"Amparo (I)","Rivelles"
"Amzie","Strickland"
"An","Swartenbroekx"
"Ana","Castell"
"Ana","Risueño"
"Ana Luisa","Peluffo"
"Ana Luisa","Radgado"
"Ana María","Campoy"
"Anabelle","Gutiérrez"
"Analía","Gadé"
"Anders","Skovsted"
"Anders (I)","Nyström"
"Andras","Garotni"
"André","Brunet"
"André","Valmy"
"André S.","Labarthe"
"Andrea","Baktay"
"Andrea","Marcellus"
"Andrea","Necci"
"Andrea","Occhipinti"
"Andrée","Tainsy"
"Andrei","Gorbushin"
"Andrew","Ray"
"Andreya","Popdimitrova"
"Andrzej","Chyra"
"Andy (I)","Williams"
"Aneta","Corsaut"
"Angel","Casey"
"Ángel","Claude"
"Angela","Lansbury"
"Angela","Rippon"
"Angelica","La Bozzetta"
"Angélica","María"
"Angelo","Caangay"
"Anilza","Leoni"
"Anita","Björk"
"Anita","Page"
"Anituavau","Landé"
"Ankita","Malkan"
"Ann","Sothern"
"Ann","Stell"
"Ann-Sophie","Honeth"
"Ann (I)","Miller"
"Ann (I)","Robinson"
"Anna","Carlsten"
"Anna","Falchi"
"Anna","Jaraczówna"
"Anna","Kyriakou"
"Anna","Ludmilla"
"Anna","Mariyeviç"
"Anna","Melisková"
"Anna","Rosdahl"
"Anna","Seghers"
"Anna","Wing"
"Anna (I)","Lee"
"Anna Maria","Torniai"
"Anna Mária","Tahy"
"Annabelle","Moore"
"Annagul","Annakuliyeva"
"Anne","Bauchens"
"Anne","Jackson"
"Anne","Meara"
"Anne","Revere"
"Anne","Valery"
"Anne","Veesaar"
"Anne-Marie","Blanc"
"Annette","Kellerman"
"Annie","Noël"
"Annie","Ross"
"Anouk","Aimée"
"Anouk","Ferjac"
"Anta","Pirak"
"Anthony","Baird"
"Anthony","Eden"
"Anthony","Howard"
"Anthony","Marsh"
"Anthony","Newley"
"Anthony","Quinn"
"Anthony (I)","James"
"Anthony (II)","Harvey"
"Anthony J.","Ricchiute"
"Antonella","Lualdi"
"Antonella","Steni"
"Antonie","Hegerlíková"
"Antonio","Ferrer"
"Antonio","Manifredi"
"Antonio","Ozores"
"Antonio","Saillant"
"Antonio (I)","Muñiz"
"Antonis","Trikaminas"
"Antun","Nalis"
"Anuradha","Chandan"
"Arcady","Boytler"
"Arda","Turcan"
"Argentina","Brunetti"
"Arlene","Dahl"
"Arlette","Thomas"
"Armand","Dutertre"
"Armando","Silvestre"
"Armin","Marewski"
"Arnold","Ridley"
"Arnoldo","Foà"
"Art","Carney"
"Art","Fleming"
"Art","Linkletter"
"Arthur","Conquest"
"Arthur","Freed"
"Arthur","Hohl"
"Arthur","Lowe"
"Arthur","Mainzer"
"Arthur","Mullard"
"Arthur","Seyss-Inquart"
"Arthur (I)","Gardner"
"Arthur (I)","Jensen"
"Arthur (I)","Miller"
"Arthur (III)","Evans"
"Artie","Shaw"
"Artur","Agostinho"
"Assaf","Ashtar"
"Asta (I)","Nielsen"
"Asta Esper","Hagen Andersen"
"Ato","Sudhart"
"Audrey","Hepburn"
"Audrey","Munson"
"August Clarence","Swenson"
"Augusti Budian","Thika"
"Aurora","Cortés"
"Aurora (I)","Bautista"
"Ava","Gardner"
"Avery","Brundage"
"Axel","Anderson"
"Axel","Monjé"
"Axel","Prahl"
"Axel","Scholtz"
"B.","Srinivasa Rao"
"Babe","Ruth"
"Baby","Bhanumati"
"Badr","Iravani"
"Baldur","von Schirach"
"Bangalore","Padma"
"Barbara","Adolph"
"Barbara","Bel Geddes"
"Barbara","Billingsley"
"Barbara","Hamilton"
"Barbara","Lott"
"Barbara","Stanwyck"
"Bárbara","Gil"
"Barbro","Hiort af Ornäs"
"Barbro","Kollberg"
"Barry","Clifton"
"Barry","Letts"
"Barry","Morse"
"Beatriz","Aguirre"
"Beatriz","Taibo"
"Beau","Bridges"
"Bela","Lugosi"
"Ben","Edden"
"Ben","Mortley"
"Ben (I)","Cooper"
"Ben (I)","Johnson"
"Ben (III)","Chapman"
"Ben (III)","Webster"
"Bengt","Alsterlind"
"Bengt","Blomgren"
"Benito","Mussolini"
"Benno","Sterzenbach"
"Benny","Carter"
"Benny","Goodman"
"Benny","Juhlin"
"Bernard","Blier"
"Bernard","Métreaux"
"Bernard (I)","Lee"
"Bernard L.","Montgomery"
"Bert (I)","Williams"
"Berting","Labra"
"Bessie","Smith"
"Bethoe","Shirkoff"
"Betsy","Blair"
"Betsy","von Furstenberg"
"Bette","Davis"
"Betty","Blythe"
"Betty","Comden"
"Betty","Driver"
"Betty","Garrett"
"Betty","Helsengreen"
"Betty","Lynn"
"Betty","Nansen"
"Betty (I)","White"
"Beverly","Fite"
"Beverly","Roberts"
"Beverly","Sills"
"Beverly (I)","Garland"
"Bharati (I)","Devi"
"Bill","Erwin"
"Bill","Hayes"
"Bill","Meridian"
"Bill","Romang"
"Bill","Wilkus"
"Bill (I)","Dunn"
"Bill (I)","Hale"
"Bill (I)","Kerr"
"Bill (I)","Owen"
"Bill (I)","Thompson"
"Billie","Holiday"
"Billie 'Buckwheat'","Thomas"
"Billy","Barty"
"Billy","Crary"
"Billy","Eckstine"
"Billy","Kimbley"
"Billy (I)","Gilbert"
"Billy (I)","Gray"
"Bing","Crosby"
"Birgitta","Nandin"
"Birgitte","Federspiel"
"Birthe","Backhausen"
"Bjørn","Jenseg"
"Bjørn","Lomborg"
"Blake","Edwards"
"Bob","Barker"
"Bob","Coutiere"
"Bob","Fosse"
"Bob","Hope"
"Bob (I)","Bartlett"
"Bob (I)","Hastings"
"Bob (I)","McLean"
"Bob (I)","Simmons"
"Bob (V)","Willis"
"Bob (XVI)","Wilson"
"Bobby","Cooper"
"Bobby","Hyatt"
"Bobby","Rydell"
"Bobs","Watson"
"Bodil","Kjer"
"Bodil","Lindorff"
"Bodil","Udsen"
"Boguslaw","Sochnacki"
"Bojan","Westin"
"Boo","Kapone"
"Børge","Ralov"
"Boris","Karloff"
"Brad","Dexter"
"Branislav","Zeremski"
"Branka","Veselinovic"
"Brian","DiCinti"
"Brian","Posehn"
"Brice","Pigneul"
"Brigitte","Auber"
"Brigitte","Borchert"
"Brigitte","Mira"
"Brigitte","Nielsen"
"Britta","Billsten"
"Bruce","Seton"
"Bruce (I)","Lee"
"Bruni","Löbel"
"Bruno","Johansson"
"Bryan","Forbes"
"Bubba","Sparxxx"
"Bud","Collyer"
"Budd","Boetticher"
"Buddy","Ebsen"
"Buddy","Hackett"
"Bunny","Bronson"
"Bunsri","Sribunruttanachai"
"Burgess","Meredith"
"Burt","Lancaster"
"Buster","Keaton"
"Buxx","Banner"
"C.F.","Seabert"
"Cab","Calloway"
"Caitlin","Dulany"
"Calvin","Coolidge"
"Candice","Bergen"
"Candy","Toxton"
"Cara","Kanak"
"Carl","Laemmle"
"Carl","Reiner"
"Carl","Sandburg"
"Carl","Zickner"
"Carl 'Alfalfa'","Switzer"
"Carl 'Major'","Roup"
"Carl Theodor","Dreyer"
"Carla","Laemmle"
"Carlo","Cecchi"
"Carlo","Croccolo"
"Carlo","Delle Piane"
"Carlo","Giuffrè"
"Carlo","Lizzani"
"Carlos","Amador"
"Carlos","Guerrio"
"Carlos","Heredia"
"Carlos","Jair"
"Carlos","Larrañaga"
"Carlos","Manga"
"Carlos","Olivença"
"Carlos","Vilche"
"Carmelita","González"
"Carmem","Silva"
"Carmen","Barros"
"Carmen","Montejo"
"Carmen","Sevilla"
"Carmen (I)","Amaya"
"Carmen (I)","Lozano"
"Carmencita","Romero"
"Carol","Burnett"
"Carol","Channing"
"Carol","Haney"
"Carola","Höhn"
"Carole","Gallagher"
